ds,yhat,yhat_lower,yhat_upper
2023-03-20,4021.322955687163,3830.6274913669345,4207.52612173338
2023-03-21,4029.666121531232,3847.846502635472,4208.087141172508
2023-03-22,4036.125352616892,3851.6181253733944,4222.167313203883
2023-03-23,4047.1533967920695,3867.6303609421734,4231.159923131579
2023-03-24,4059.1987487675033,3876.598240872412,4249.892917325101
2023-03-27,4083.8155080186357,3887.7350671200747,4267.506257386707
2023-03-28,4089.5092217243337,3907.212534699317,4262.732066577595
2023-03-29,4096.949841993972,3910.5086270676247,4278.324935868922
2023-03-30,4108.09121034916,3918.301577555148,4300.842446423118
2023-03-31,4119.462254755079,3921.1165601516495,4308.710693585117
2023-04-03,4138.313365234143,3965.299097829572,4310.335668509891
2023-04-04,4141.209391927281,3957.661957426108,4330.027234460758
2023-04-05,4141.049225411984,3941.156032750121,4315.404096527306
2023-04-06,4144.474096629141,3952.711478674063,4321.860318458381
2023-04-10,4145.0257510891215,3958.5543345183873,4320.993593093622
2023-04-11,4141.335360752001,3953.697432329054,4329.597146838269
2023-04-12,4135.101412893361,3953.16507211626,4315.252565228151
2023-04-13,4133.034720348916,3958.111111618159,4311.410269631242
2023-04-14,4131.841650330714,3956.0203664887354,4316.694986035062
2023-04-17,4118.359568276229,3954.317951056675,4301.7339085057265
2023-04-18,4112.6556449254385,3935.1632826883497,4283.995974707725
2023-04-19,4105.122085963014,3914.3037689826106,4281.6007952325745
2023-04-20,4102.4467979135425,3932.7604707257374,4284.068280698028
2023-04-21,4101.3029101000275,3912.909109898077,4289.310793839834
2023-04-24,4091.4584067934015,3891.0288819452117,4282.606758449514
2023-04-25,4087.9479527157223,3914.480237901805,4275.143671237637
2023-04-26,4082.9978598966827,3894.7370041186396,4264.914754187051
2023-04-27,4083.2336307776945,3896.391150058275,4259.131162726049
2023-04-28,4085.2667375583765,3901.065463950304,4267.528040084335
2023-05-01,4085.970995796067,3898.537756878371,4265.815609402007
2023-05-02,4086.1438457433455,3894.0200919770796,4258.934877582153
2023-05-03,4084.8874231272994,3907.545171620196,4268.10362279677
2023-05-04,4088.792111484336,3898.0130019400744,4270.021993013507
2023-05-05,4094.4403526163696,3902.078150453591,4273.603918519435
2023-05-08,4105.464333023419,3910.0167244190893,4276.238652957362
2023-05-09,4108.860154053573,3924.389538891793,4299.573503784513
2023-05-10,4110.708058045727,3940.1820613027203,4288.927532678343
2023-05-11,4117.597027796625,3938.037007276429,4296.744054135156
2023-05-12,4126.109977909036,3942.469372938832,4314.300933538328
2023-05-15,4145.024206689478,3942.405234398873,4319.489099846715
2023-05-16,4150.816976770794,3971.1113128809275,4330.072930188018
2023-05-17,4154.941941794112,3975.177453767018,4347.722208545035
2023-05-18,4163.98248083539,3978.1794421585205,4347.046317489656
2023-05-19,4174.513012646838,3989.9120395262585,4350.330231982647
2023-05-22,4198.546743726963,4015.3647208191546,4383.171109733073
2023-05-23,4205.678450318103,4015.6683009640155,4385.628249094052
2023-05-24,4210.925172627218,4029.395426559762,4407.96222673191
2023-05-25,4220.848523457246,4049.745018943378,4401.932758984413
2023-05-26,4232.00115765396,4054.1451901331616,4440.470405793214
2023-05-30,4262.6670959861585,4081.8700208924743,4449.552429410694
2023-05-31,4266.974389737279,4064.9015822045785,4454.150258038659
2023-06-01,4275.621834519273,4095.5460665090372,4461.0730039743285
2023-06-02,4285.167241322264,4112.0074917416705,4461.479991635975
2023-06-05,4302.6542358142,4114.859537173818,4483.223163631398
2023-06-06,4306.4443280857195,4113.269613303159,4497.80162677356
2023-06-07,4307.8171755791855,4136.546081939089,4472.529301465578
2023-06-08,4313.381029675978,4119.070263104175,4495.443495772315
2023-06-09,4319.747373847415,4144.823727568277,4500.537363273378
2023-06-12,4327.7253671424905,4140.632841072388,4523.972013702695
2023-06-13,4328.568010046683,4147.357368234887,4502.5770988330205
2023-06-14,4327.212074406554,4143.063382838275,4508.311562295534
2023-06-15,4330.32774052251,4140.633618055514,4508.397330410812
2023-06-16,4334.584432300184,4151.777864900352,4527.984005161909
2023-06-20,4339.285828861107,4155.691662995406,4523.457285066169
2023-06-21,4338.138530209316,4161.645950529888,4511.272545555049
2023-06-22,4341.9857421122215,4148.983295629676,4513.439166715986
2023-06-23,4347.490694358888,4176.350095802231,4536.528797698567
2023-06-26,4358.2638748682875,4177.467128458046,4537.698061542932
2023-06-27,4361.816720932909,4170.216376512804,4536.87428216189
2023-06-28,4364.002735000391,4172.667098657652,4537.770264784612
2023-06-29,4371.42797052271,4189.88543931149,4557.279146732545
2023-06-30,4380.6792252547475,4195.550382296956,4552.4674007998465
2023-07-03,4394.913647071183,4214.038675943521,4577.088110844415
2023-07-05,4402.262391532641,4223.9517068383575,4589.653397699323
2023-07-06,4410.039868900133,4231.628550165773,4592.9780891675955
2023-07-07,4419.245832398068,4237.8483765524015,4590.947837882416
2023-07-10,4438.35649112747,4235.359637411976,4624.774536188659
2023-07-11,4443.351830399692,4257.848155359851,4627.280803750179
2023-07-12,4446.139674347195,4268.154994050414,4638.260646374727
2023-07-13,4453.24934837326,4269.414606090697,4639.853366384129
2023-07-14,4461.211699734667,4276.011062850919,4652.352399434909
2023-07-17,4473.477973192162,4285.582004105451,4663.927380763394
2023-07-18,4475.328616872921,4283.407600088988,4664.946581803227
2023-07-19,4474.653517058429,4293.564149593291,4657.963605172779
2023-07-20,4478.062282047533,4287.675022340463,4668.519698410159
2023-07-21,4482.171556584516,4288.972510198843,4662.217987779551
